#name	name2
NM_178313	SPTBN1
NM_003128	SPTBN1
NM_152516	COMMD1
NM_002398	MEIS1
NM_001201334	GCFC2
NM_003203	GCFC2
NM_031283	TCF7L1
NM_002518	NPAS2
NM_201557	FHL2
NM_032494	ZC3H8
NM_013952	PAX8
NM_013953	PAX8
NM_013992	PAX8
NM_003466	PAX8
NM_014553	TFCP2L1
NM_002299	LCT
NM_001171653	ZEB2
NM_014795	ZEB2
NM_024969	CSRNP3
NM_001172173	CSRNP3
NM_203463	CERS6
NM_001256126	CERS6
NM_001003845	SP5
NM_001880	ATF2
NM_001256094	ATF2
NM_001256093	ATF2
NM_001256092	ATF2
NM_001256091	ATF2
NR_045774	ATF2
NR_045773	ATF2
NM_004882	CIR1
NR_045772	ATF2
NR_045771	ATF2
NR_045769	ATF2
NR_045768	ATF2
NR_045770	ATF2
NM_001256090	ATF2
NM_001080458	EVX2
NM_001145413	NFE2L2
NM_001145412	NFE2L2
NM_006164	NFE2L2
NM_016315	GULP1
NR_045563	GULP1
NR_045562	GULP1
NM_001252669	GULP1
NM_001252668	GULP1
NM_012086	GTF3C3
NM_001206774	GTF3C3
NM_033358	CASP8
NM_033355	CASP8
NM_001228	CASP8
NM_001080124	CASP8
NM_001104586	ALS2CR8
NM_024744	ALS2CR8
NM_001243077	CD28
NM_001243078	CD28
NM_006139	CD28
NM_134442	CREB1
NM_003709	KLF7
NM_004379	CREB1
NM_015690	STK36
NM_001243313	STK36
NM_181461	PAX3
NM_181459	PAX3
NM_181460	PAX3
NM_181458	PAX3
NM_181457	PAX3
NM_001127366	PAX3
NM_001185015	SP110
NM_001206701	SP100
NM_003113	SP100
NM_080424	SP110
NM_001080391	SP100
NM_004510	SP110
NM_004509	SP110
NM_003108	SOX11
NM_002166	ID2
NM_003183	ADAM17
NM_005680	TAF1B
NM_001177716	KLF11
NM_001177718	KLF11
NM_003597	KLF11
NM_198256	E2F6
NR_003094	E2F6
NR_003093	E2F6
NR_003092	E2F6
NR_003095	E2F6
NM_021643	TRIB2
NR_027303	TRIB2
NM_005378	MYCN
NM_000939	POMC
NM_001035256	POMC
NM_175769	TCF23
NM_001035521	GTF3C2
NM_001521	GTF3C2
NM_005253	FOSL2
NM_005760	CEBPZ
NM_006887	ZFP36L2
NM_005413	SIX3
NM_016932	SIX2
NM_002158	FOXN2
NM_153828	RTN4
NM_007008	RTN4
NM_207521	RTN4
NM_020532	RTN4
NM_207520	RTN4
NM_001177413	RPS27A
NM_001135592	RPS27A
NM_002954	RPS27A
NM_002908	REL
NM_001199770	OTX1
NM_014562	OTX1
NM_178439	GMCL1
NM_001202514	MXD1
NM_001202513	MXD1
NM_002357	MXD1
NM_006196	PCBP1
NM_001004311	FIGLA
NM_012476	VAX2
NM_004097	EMX1
NM_001965	EGR4
NM_001134462	NOTO
NM_016170	TLX2
NM_001009812	LBX2
NM_001201335	GCFC2
NM_000542	SFTPB
NM_198843	SFTPB
NM_015425	POLR1A
NM_001135649	FOXI3
NM_013434	KCNIP3
NM_001034914	KCNIP3
NM_006236	POU3F3
NM_001039492	FHL2
NM_001450	FHL2
NM_201555	FHL2
NM_001204112	BCL2L11
NM_207003	BCL2L11
NM_207002	BCL2L11
NM_001204107	BCL2L11
NM_001204106	BCL2L11
NM_001204111	BCL2L11
NM_001204110	BCL2L11
NM_001204109	BCL2L11
NM_001204108	BCL2L11
NM_006538	BCL2L11
NM_001204113	BCL2L11
NM_138627	BCL2L11
NM_138626	BCL2L11
NM_138625	BCL2L11
NM_138624	BCL2L11
NM_138623	BCL2L11
NM_138622	BCL2L11
NM_138621	BCL2L11
NM_000576	IL1B
NM_000575	IL1A
NM_012184	FOXD4L1
NM_016133	INSIG2
NM_001426	EN1
NM_000122	ERCC3
NM_004805	POLR2D
NM_001267066	PLEKHB2
NM_017958	PLEKHB2
NM_001100623	PLEKHB2
NM_001267064	PLEKHB2
NM_001267065	PLEKHB2
NR_049791	PLEKHB2
NR_049792	PLEKHB2
NM_001267062	PLEKHB2
NM_001267063	PLEKHB2
NM_001267067	PLEKHB2
NM_001267068	PLEKHB2
NR_049789	PLEKHB2
NR_049790	PLEKHB2
NM_001241	CCNT2
NM_058241	CCNT2
NR_037649	CCNT2
NM_003467	CXCR4
NM_001008540	CXCR4
NR_033658	LOC647012
NR_033258	ZEB2
NM_006186	NR4A2
NM_006593	TBR1
NM_178120	DLX1
NM_001038493	DLX1
NM_004405	DLX2
NM_001172712	SP3
NM_003111	SP3
NM_001017371	SP3
NM_001145250	SP9
NM_021193	HOXD12
NM_001199747	HOXD8
NM_001199746	HOXD8
NM_019558	HOXD8
NM_002148	HOXD10
NM_000523	HOXD13
NM_014621	HOXD4
NM_024501	HOXD1
NM_006898	HOXD3
NM_014213	HOXD9
NM_021192	HOXD11
NM_002500	NEUROD1
NM_001145000	ITGAV
NM_002210	ITGAV
NM_001144999	ITGAV
NM_014585	SLC40A1
NM_005966	NAB1
NM_007315	STAT1
NM_139266	STAT1
NM_003151	STAT4
NM_001243835	STAT4
NM_001136039	NIF3L1
NM_001142356	NIF3L1
NM_001142355	NIF3L1
NM_021824	NIF3L1
NM_001080125	CASP8
NM_033356	CASP8
NM_003352	SUMO1
NM_001005782	SUMO1
NM_001005781	SUMO1
NM_003284	TNP1
NM_022453	RNF25
NM_017521	FEV
NM_000438	PAX3
NM_013942	PAX3
NM_007237	SP140
NM_001005176	SP140
NM_001206702	SP100
NM_001206704	SP100
NM_001206703	SP100
NM_001485	GBX2
NM_018645	HES6
NM_022817	PER2
NM_001142853	HES6
NM_057179	TWIST2
NM_000564	IL5RA
NM_175727	IL5RA
NM_175726	IL5RA
NM_175725	IL5RA
NM_175728	IL5RA
NM_001243099	IL5RA
NM_175724	IL5RA
NM_014159	SETD2
NM_001012505	FOXP1
NM_001244816	FOXP1
NM_001244812	FOXP1
NM_001244810	FOXP1
NM_001244808	FOXP1
NM_032682	FOXP1
NM_005241	MECOM
NM_001105078	MECOM
NM_001105077	MECOM
NM_001164000	MECOM
NM_004991	MECOM
NM_001163999	MECOM
NM_001205194	MECOM
NM_015562	UBXN7
NM_001570	IRAK2
NM_006354	TADA3
NM_133480	TADA3
NM_015869	PPARG
NM_005037	PPARG
NM_138712	PPARG
NM_138711	PPARG
NM_003298	NR2C2
NM_144633	KCNH8
NM_003884	KAT2B
NM_001128177	THRB
NM_000461	THRB
NM_001128176	THRB
NM_001252634	THRB
NM_000965	RARB
NM_016152	RARB
NM_003242	TGFBR2
NM_001024847	TGFBR2
NM_033027	CSRNP1
NM_003420	ZNF35
NM_020347	LZTFL1
NM_002447	MST1R
NM_001664	RHOA
NM_001244937	MST1R
NM_018313	PBRM1
NM_018403	DCP1A
NM_001164318	FLNB
NM_001164317	FLNB
NM_001164319	FLNB
NM_001457	FLNB
NM_001184967	MITF
NM_006722	MITF
NM_000248	MITF
NM_198178	MITF
NM_198177	MITF
NM_198159	MITF
NM_198158	MITF
NM_001244815	FOXP1
NM_001244814	FOXP1
NM_001244813	FOXP1
NM_012234	RYBP
NM_020235	BBX
NM_001142568	BBX
NM_005191	CD80
NM_002093	GSK3B
NM_001146156	GSK3B
NM_005335	HCLS1
NM_021964	ZNF148
NM_032242	PLXNA1
NM_001080412	ZBTB38
NM_001178142	TFDP2
NM_001178141	TFDP2
NM_001178139	TFDP2
NM_006286	TFDP2
NM_001178140	TFDP2
NM_001178138	TFDP2
NM_173653	SLC9A9
NM_003071	HLTF
NM_139048	HLTF
NM_001168280	WWTR1
NM_015472	WWTR1
NM_001168278	WWTR1
NM_002740	PRKCI
NM_001130081	PLD1
NM_002662	PLD1
NR_033994	TNFSF10
NM_003810	TNFSF10
NM_001190942	TNFSF10
NM_016331	ZNF639
NM_001242317	MAP3K13
NM_001242314	MAP3K13
NM_004721	MAP3K13
NM_001114982	TP63
NM_001114981	TP63
NM_001114980	TP63
NM_001114979	TP63
NM_001114978	TP63
NM_003722	TP63
NM_005524	HES1
NM_003670	BHLHE40
NM_000551	VHL
NM_198156	VHL
NM_024827	HDAC11
NM_001136041	HDAC11
NM_024334	TMEM43
NM_033083	EAF1
NM_001131010	SATB1
NM_002971	SATB1
NM_001195470	SATB1
NM_001145425	NR1D2
NM_005126	NR1D2
NM_005442	EOMES
NM_001128160	UBP1
NM_014517	UBP1
NM_001128161	UBP1
NM_002468	MYD88
NM_001172569	MYD88
NM_001172568	MYD88
NM_001172567	MYD88
NM_001172566	MYD88
NM_001098209	CTNNB1
NM_001098210	CTNNB1
NM_001904	CTNNB1
NM_001251884	VIPR1
NM_001251883	VIPR1
NM_001251882	VIPR1
NM_004624	VIPR1
NM_001251885	VIPR1
NM_181489	ZNF445
NM_006991	ZNF197
NM_018651	ZNF167
NM_025169	ZNF167
NM_001024855	ZNF197
NM_178329	CCR3
NM_178328	CCR3
NM_001837	CCR3
NM_001164680	CCR3
NM_000579	CCR5
NM_001100168	CCR5
NM_016381	TREX1
NM_033629	TREX1
NM_198880	QRICH1
NM_017730	QRICH1
NM_001166425	GNAI2
NM_002070	GNAI2
NM_153285	HYAL1
NM_001206957	RASSF1
NM_153281	HYAL1
NM_007182	RASSF1
NM_170714	RASSF1
NM_170713	RASSF1
NM_170712	RASSF1
NM_033159	HYAL1
NM_153282	HYAL1
NM_153283	HYAL1
NR_047690	HYAL1
NM_004635	MAPKAPK3
NM_001243925	MAPKAPK3
NM_001243926	MAPKAPK3
NM_017442	TLR9
NM_001064	TKT
NM_001135055	TKT
NM_001258028	TKT
NR_047579	TKT
NR_047580	TKT
NM_001256105	WNT5A
NM_003392	WNT5A
NM_003865	HESX1
NM_018008	FEZF2
NM_001184968	MITF
NM_001122757	POU1F1
NM_000306	POU1F1
NM_138815	DPPA2
NM_007136	ZNF80
NM_022002	NR1I2
NM_033013	NR1I2
NM_003889	NR1I2
NM_005513	GTF2E1
NM_001012659	ARGFX
NM_018456	EAF2
NM_014079	KLF15
NM_001040653	ZXDC
NM_025112	ZXDC
NM_001145662	GATA2
NM_001145661	GATA2
NM_032638	GATA2
NM_003418	CNBP
NM_001127196	CNBP
NM_001127195	CNBP
NM_001127194	CNBP
NM_001127193	CNBP
NM_001127192	CNBP
NM_004189	SOX14
NM_023067	FOXL2
NM_021105	PLSCR1
NM_003412	ZIC1
NM_031850	AGTR1
NM_009585	AGTR1
NM_000685	AGTR1
NM_032049	AGTR1
NM_004835	AGTR1
NM_014779	TSC22D2
NM_007288	MME
NM_007287	MME
NM_000902	MME
NM_007289	MME
NM_001185119	MYNN
NR_033702	MYNN
NM_001185118	MYNN
NR_033703	MYNN
NM_018657	MYNN
NM_001190943	TNFSF10
NM_003106	SOX2
NM_006232	POLR2H
NR_038322	MAP3K13
NM_004454	ETV5
NM_004797	ADIPOQ
NM_001177800	ADIPOQ
NM_001134738	BCL6
NM_001130845	BCL6
NM_001706	BCL6
NM_001130834	LDB2
NM_001290	LDB2
NM_001130714	LEF1
NM_001130713	LEF1
NM_016269	LEF1
NM_001166119	LEF1
NM_002111	HTT
NM_001145853	WFS1
NM_006005	WFS1
NM_001166050	APBB2
NM_004307	APBB2
NM_173075	APBB2
NM_000222	KIT
NM_001093772	KIT
NM_138982	MAPK10
NM_002753	MAPK10
NM_138980	MAPK10
NM_018699	PRDM5
NM_002938	RNF4
NM_001185009	RNF4
NM_001185010	RNF4
NM_014189	ADD1
NM_014190	ADD1
NM_001119	ADD1
NM_176801	ADD1
NM_001145851	PROM1
NM_001145847	PROM1
NM_001145850	PROM1
NM_001145849	PROM1
NM_001145848	PROM1
NM_006017	PROM1
NM_001145852	PROM1
NM_001166139	LCORL
NM_153686	LCORL
NM_013261	PPARGC1A
NM_015874	RBPJ
NM_203284	RBPJ
NM_203283	RBPJ
NM_005349	RBPJ
NM_016531	KLF3
NM_006345	SLC30A9
NM_003328	TXK
NM_004898	CLOCK
NM_002253	KDR
NM_001145460	HOPX
NM_139212	HOPX
NM_032495	HOPX
NM_182472	EPHA5
NM_004439	EPHA5
NM_001134	AFP
NM_005935	AFF1
NM_001166693	AFF1
NM_000297	PKD2
NM_000253	MTTP
NM_001963	EGF
NM_001178131	EGF
NM_001178130	EGF
NM_153427	PITX2
NM_153426	PITX2
NM_000325	PITX2
NM_001204399	PITX2
NM_001204398	PITX2
NM_001204397	PITX2
NM_033437	PDE5A
NM_033430	PDE5A
NM_001083	PDE5A
NM_003305	TRPC3
NM_001130698	TRPC3
NM_201999	ELF2
NM_006874	ELF2
NM_057175	NAA15
NM_003601	SMARCA5
NM_005900	SMAD1
NM_001003688	SMAD1
NM_001166104	NR3C2
NM_000901	NR3C2
NM_033632	FBXW7
NM_001257069	FBXW7
NM_002199	IRF2
NM_001347	DGKQ
NM_001328	CTBP1
NM_001012614	CTBP1
NM_022965	FGFR3
NM_006342	TACC3
NM_001163213	FGFR3
NM_000142	FGFR3
NM_005663	WHSC2
NM_002448	MSX1
NM_018659	CYTL1
NM_053044	HTRA3
NM_018942	HMX1
NM_001189	NKX3-2
NM_001775	CD38
NM_001166054	APBB2
NM_001166053	APBB2
NM_001166052	APBB2
NM_001166051	APBB2
NM_003924	PHOX2B
NM_001159547	BEND4
NM_207406	BEND4
NM_152995	NFXL1
NM_133267	GSX2
NM_139211	HOPX
NM_001145459	HOPX
NM_001193508	REST
NM_005612	REST
NM_001012763	GNRHR
NM_000406	GNRHR
NM_000477	ALB
NM_000584	IL8
NM_001511	CXCL1
NR_046035	CXCL1
NM_001042402	NAAA
NM_014435	NAAA
NM_003943	STBD1
NM_005139	ANXA3
NM_001098540	HPSE
NM_001199830	HPSE
NM_006665	HPSE
NM_001166498	HPSE
NM_006168	NKX6-1
NM_138981	MAPK10
NM_016245	HSD17B11
NM_001040060	SPP1
NM_001251830	SPP1
NM_001040058	SPP1
NM_000582	SPP1
NM_001251829	SPP1
NM_005172	ATOH1
NM_003998	NFKB1
NM_001165412	NFKB1
NM_024019	NEUROG2
NM_000586	IL2
NM_001207006	IL21
NM_021803	IL21
NM_002006	FGF2
NM_014331	SLC7A11
NM_012118	CCRN4L
NM_021833	UCP1
NM_004575	POU4F2
NR_047688	RPS3A
NM_001006	RPS3A
NM_001013415	FBXW7
NM_018315	FBXW7
NM_003264	TLR2
NM_003013	SFRP2
NM_001130689	HMGB2
NM_001130688	HMGB2
NM_002129	HMGB2
NM_021973	HAND2
NM_004346	CASP3
NM_032991	CASP3
NM_001029887	HELT
NM_003265	TLR3
NM_174900	ZFP42
NM_012147	DUX2
NM_012147	DUX2
NM_012147	DUX2
NM_012147	DUX2
NM_012147	DUX2
NM_012147	DUX2
NM_001164467	DUX4L3
NM_001164467	DUX4L3
NM_001164467	DUX4L3
NM_001164467	DUX4L3
NM_001164467	DUX4L3
NM_001164467	DUX4L3
NM_001177376	DUX4L4
NM_001177376	DUX4L4
NM_001177376	DUX4L4
NM_001177376	DUX4L4
NM_001332	CTNND2
NM_013235	DROSHA
NM_001100412	DROSHA
NM_001193350	MEF2C
NM_001193349	MEF2C
NM_001131005	MEF2C
