Gene Id	Gene Symbol	Entrez ID	Chromosome	Transcription Start	Transcription End
uc001evr.2	ARNT	405	chr1	150782180	150849244
uc001evs.2	ARNT	405	chr1	150782180	150849244
uc009wmd.2	ARNT	405	chr1	150782180	150849244
uc009wmb.2	ARNT	405	chr1	150782180	150849244
uc009wmc.2	ARNT	405	chr1	150782180	150849244
uc009wme.2	ARNT	405	chr1	150790395	150849244
uc010pcl.2	ARNT	405	chr1	150795669	150849244
uc010pck.2	ARNT	405	chr1	150782180	150789924
uc001evy.3	CERS2	29956	chr1	150937648	150947479
uc001evz.3	CERS2	29956	chr1	150937648	150947479
uc009wmh.3	CERS2	29956	chr1	150937648	150947479
uc001exv.1	RFX5	5993	chr1	151313115	151319769
uc001exw.1	RFX5	5993	chr1	151313115	151319769
uc010pcx.1	RFX5	5993	chr1	151313115	151319769
uc001ezh.3	RORC	6097	chr1	151778546	151804348
uc001ezg.3	RORC	6097	chr1	151778546	151798553
uc010pdo.2	RORC	6097	chr1	151778546	151804348
uc010pdp.2	RORC	6097	chr1	151778546	151804348
uc001fdb.4	GATAD2B	57459	chr1	153777202	153895451
uc021pab.1	CRTC2	200186	chr1	153920147	153931132
uc001fde.4	CRTC2	200186	chr1	153920147	153926792
uc001fdf.4	CRTC2	200186	chr1	153920147	153926792
uc001fms.2	ARHGEF2	9181	chr1	155916629	155948336
uc001fmt.2	ARHGEF2	9181	chr1	155916629	155948336
uc001fmr.2	ARHGEF2	9181	chr1	155916629	155947966
uc001fmu.2	ARHGEF2	9181	chr1	155916629	155959864
uc010pgt.1	ARHGEF2	9181	chr1	155931451	155949081
uc010pgu.1	ARHGEF2	9181	chr1	155931451	155959290
uc001fmq.2	ARHGEF2	9181	chr1	155916629	155921063
uc001foh.3	C1orf85	112770	chr1	156262483	156265449
uc001fpc.3	MEF2D	4209	chr1	156433518	156470529
uc001fpd.3	MEF2D	4209	chr1	156433518	156470529
uc001fpb.3	MEF2D	4209	chr1	156433518	156460391
uc001fpe.1	MEF2D	4209	chr1	156433519	156470529
uc009wsa.3	MEF2D	4209	chr1	156433518	156470529
uc001fqq.2	ETV3L	440695	chr1	157061834	157069600
uc001fqr.2	ETV3	2117	chr1	157094458	157108383
uc001fqt.3	ETV3	2117	chr1	157102975	157108383
uc001fxi.3	USF1	7391	chr1	161009040	161015757
uc001fxj.3	USF1	7391	chr1	161009040	161015757
uc001fzp.3	NR1I3	9970	chr1	161199455	161208000
uc001fzf.3	NR1I3	9970	chr1	161199455	161208000
uc001fzx.3	NR1I3	9970	chr1	161199455	161208000
uc001fzy.3	NR1I3	9970	chr1	161199455	161208000
uc001fzw.3	NR1I3	9970	chr1	161199455	161208000
uc001fzz.3	NR1I3	9970	chr1	161199455	161208000
uc001fzh.3	NR1I3	9970	chr1	161199455	161208000
uc001gab.3	NR1I3	9970	chr1	161199455	161208000
uc001gac.3	NR1I3	9970	chr1	161199455	161208000
uc001fzg.3	NR1I3	9970	chr1	161199455	161208000
uc001gaa.3	NR1I3	9970	chr1	161199455	161208000
uc001fzj.3	NR1I3	9970	chr1	161199455	161208000
uc001fzi.3	NR1I3	9970	chr1	161199455	161208000
uc001fzl.3	NR1I3	9970	chr1	161199455	161208000
uc001fzk.3	NR1I3	9970	chr1	161199455	161208000
uc021pbw.1	NR1I3	9970	chr1	161199455	161206388
uc001fzm.3	NR1I3	9970	chr1	161199455	161208000
uc001fzn.3	NR1I3	9970	chr1	161199455	161208000
uc009wug.3	NR1I3	9970	chr1	161199455	161208000
uc010pkm.2	NR1I3	9970	chr1	161200134	161208000
uc001fzo.3	NR1I3	9970	chr1	161199455	161208000
uc001fzt.3	NR1I3	9970	chr1	161199455	161208000
uc001fzs.3	NR1I3	9970	chr1	161199455	161208000
uc001fzr.3	NR1I3	9970	chr1	161199455	161208000
uc001fzq.3	NR1I3	9970	chr1	161199455	161208000
uc010pkn.1	NR1I3	9970	chr1	161200720	161208000
uc001fzv.3	NR1I3	9970	chr1	161199455	161208000
uc001fzu.3	NR1I3	9970	chr1	161199455	161208000
uc021pdz.1	LMX1A	4009	chr1	165171103	165325952
uc001gcz.2	LMX1A	4009	chr1	165171103	165325478
uc001gcw.2	LMX1A	4009	chr1	165171103	165182517
uc021pdy.1	LMX1A	4009	chr1	165171103	165182292
uc001gda.3	RXRG	6258	chr1	165370158	165414592
uc001gdb.2	RXRG	6258	chr1	165406164	165414592
uc021pea.1	RXRG	6258	chr1	165370158	165414592
uc001gel.3	CREG1	8804	chr1	167510250	167523056
uc001giu.2	TNFSF18	8995	chr1	173010359	173020103
uc001giw.3	TNFSF4	7292	chr1	173152869	173176471
uc001giv.3	TNFSF4	7292	chr1	173152869	173174697
uc001grl.3	IVNS1ABP	10625	chr1	185265521	185286461
uc009wyk.3	IVNS1ABP	10625	chr1	185265521	185286461
uc009wyj.3	IVNS1ABP	10625	chr1	185265521	185280454
uc001grj.3	IVNS1ABP	10625	chr1	185265521	185275632
uc001gri.3	IVNS1ABP	10625	chr1	185265521	185270846
uc001grm.3	IVNS1ABP	10625	chr1	185267538	185270846
uc001gve.3	ZNF281	23528	chr1	200375419	200379166
uc001gvg.1	ZNF281	23528	chr1	200375857	200379166
uc001gvf.1	ZNF281	23528	chr1	200375838	200379166
uc001gyf.3	KDM5B	10765	chr1	202696531	202777549
uc009xag.3	KDM5B	10765	chr1	202696531	202777549
uc001gyg.1	KDM5B	10765	chr1	202698834	202776427
uc001gzd.3	MYOG	4656	chr1	203052256	203055377
uc001hcy.2	ELK4	2005	chr1	205577070	205602000
uc001hcz.3	ELK4	2005	chr1	205588395	205602000
uc021pid.1	ELK4	2005	chr1	205566694	205602000
uc010prq.1	ELK4	2005	chr1	205592803	205649630
uc001hen.1	IL10	3586	chr1	206940947	206945839
uc001hgw.1	CD34	947	chr1	208059882	208084683
uc001hgx.1	CD34	947	chr1	208059882	208084683
uc010psj.1	CD34	947	chr1	208059882	208084683
uc001hgv.1	CD34	947	chr1	208059882	208063837
uc001hhq.2	IRF6	3664	chr1	209958967	209979520
uc010psm.2	IRF6	3664	chr1	209958967	209979520
uc001hjl.2	BATF3	55509	chr1	212859758	212873327
uc001hla.2	ESRRG	2104	chr1	216676587	217262987
uc009xdp.1	ESRRG	2104	chr1	216676587	217113015
uc010puc.2	ESRRG	2104	chr1	216676587	217250312
uc001hlb.2	ESRRG	2104	chr1	216676587	217262987
uc009xdo.2	ESRRG	2104	chr1	216676587	216896814
uc001hky.1	ESRRG	2104	chr1	216676587	217113015
uc010pud.2	ESRRG	2104	chr1	216676587	217262987
uc001hld.1	ESRRG	2104	chr1	216676587	217311097
uc001hle.2	ESRRG	2104	chr1	216676587	216896814
uc001hkx.2	ESRRG	2104	chr1	216676587	216896814
uc001hkw.2	ESRRG	2104	chr1	216676587	216896814
uc021pja.1	ESRRG	2104	chr1	216676587	217263196
uc021piz.1	ESRRG	2104	chr1	216676587	216978709
uc001hkz.2	ESRRG	2104	chr1	216676587	217250312
uc001hlc.1	ESRRG	2104	chr1	216676587	217311097
uc009xdz.2	TAF1A	9015	chr1	222731243	222763275
uc001hni.2	TAF1A	9015	chr1	222731243	222763275
uc001hnj.3	TAF1A	9015	chr1	222731649	222763275
uc010pur.2	TAF1A	9015	chr1	222742634	222763275
uc009xdy.1	TAF1A	9015	chr1	222731243	222737640
uc001hqd.4	PARP1	142	chr1	226548391	226595801
uc001htq.3	TAF5L	27097	chr1	229728865	229761794
uc001htr.3	TAF5L	27097	chr1	229734940	229761794
uc001hty.4	AGT	183	chr1	230838271	230850336
uc009xff.3	AGT	183	chr1	230838271	230850336
uc001huv.2	EGLN1	54583	chr1	231499496	231560790
uc001huu.3	EGLN1	54583	chr1	231499496	231556057
uc001ibv.2	AHCTF1	25909	chr1	247002401	247094726
uc009xgs.1	AHCTF1	25909	chr1	247002401	247062814
uc001ibw.1	AHCTF1	25909	chr1	247012916	247040383
uc001ico.3	ZNF496	84838	chr1	247463621	247495045
uc009xgv.3	ZNF496	84838	chr1	247463621	247492917
uc010pyv.1	ZNF496	84838	chr1	247473607	247492917
uc001icq.1	ZNF496	84838	chr1	247465777	247473758
uc010qbd.2	TAF3	83860	chr10	7860672	8056714
uc001ijz.3	GATA3	2625	chr10	8096666	8117164
uc001ika.3	GATA3	2625	chr10	8096666	8117164
